,ngram,risk_factor,umls_id,umls_term
1666,Laryngismus,lung,C0023066,Laryngismus
1667,Laryngitis,lung,C0001327,Acute laryngitis
1668,Laryngomalacia,lung,C0264303,Laryngomalacia
1669,Laryngotracheitis,lung,C0023076,Laryngotracheitis
1670,Laryngotracheobronchitis,lung,C0010380,Croup
1671,Left lower zone pneumonia,lung,C0585104,Left lower zone pneumonia
1672,Left pneumothorax,lung,C0546334,Left pneumothorax
1673,Leukoplakia of larynx,lung,C0023531,Leukoplakia
1674,Leukoplakia of larynx,lung,C0023078,Larynx
1675,Linear atelectasis,lung,C0264495,Linear atelectasis
1676,Lingular pneumonia,lung,C1960024,Lingular pneumonia
1677,Loculated pleural effusion,lung,C0747639,Loculated pleural effusion
1678,Lower respiratory tract infection,lung,C0149725,Lower respiratory tract infection
1679,Lung consolidation,lung,C0521530,Lung consolidation
1680,Lung cyst,lung,C0546483,Lung cyst
1681,Lung transplant rejection,lung,C0729958,Lung transplant rejection
1682,Lycoperdonosis,lung,C0340085,Lycoperdonosis
1683,Lymphangitis carcinomatosa,lung,C0238258,Lymphangitis carcinomatosa
1684,Lymphoid interstitial pneumonia,lung,C0264511,Lymphoid interstitial pneumonia
1685,Malignant tumor of pleura,lung,C0006826,Malignant Neoplasms
1686,Malignant tumor of pleura,lung,C0032225,Pleura
1687,Mass of pleura,lung,C3152252,Molecular Mass
1688,Mass of pleura,lung,C0032225,Pleura
1689,Measles pneumonia,lung,C0339976,Measles pneumonia
1690,Meningococcal pneumonia,lung,C0339957,Meningococcal pneumonia
1691,Metal fever,lung,C0238276,Metal fever
1692,Mild asthma,lung,C0581124,Mild asthma
1693,Mild chronic obstructive pulmonary disease,lung,C0730604,Mild chronic obstructive pulmonary disease
1694,Mild intermittent asthma,lung,C0205267,Intermittent
1695,Mild intermittent asthma,lung,C0004096,Asthma
1696,Mild persistent asthma,lung,C0205322,Persistent
1697,Mild persistent asthma,lung,C0004096,Asthma
1698,Mixed asthma,lung,C0348819,Mixed asthma
1699,Mixed mineral dust pneumoconiosis,lung,C0340184,Mixed mineral dust pneumoconiosis
1700,Mixed mineral dust pneumoconiosis,lung,C0032273,Pneumoconiosis
1701,Mixed rhinitis,lung,C1998267,Mixed rhinitis
1702,Multiple hamartoma of lung,lung,C1334824,Multiple hamartoma of lung
1703,Multiple hamartoma of lung,lung,C0024109,Lung
1704,Multiple lung abscesses,lung,C0339979,Multiple lung abscesses
1705,Mycobacterial pneumonia,lung,C0339967,Mycobacterial pneumonia
1706,Mycoplasma pneumonia,lung,C0032302,Mycoplasma pneumonia
1707,Mycoplasmal pharyngitis,lung,C0149967,Mycoplasmal pharyngitis
1708,Nasal glial heterotopia,lung,C0028429,Nose
1709,Nasal glial heterotopia,lung,C0266490,Nasal glial heterotopia
1710,Nasopharyngeal carcinoma,lung,C2931822,Nasopharyngeal carcinoma
1711,Nasopharyngeal stenosis,lung,C0339837,Nasopharyngeal stenosis
1712,Nasopharyngitis,lung,C0027441,Nasopharyngitis
1713,Necrotic rhinitis,lung,C0275729,Necrotic rhinitis
1714,Necrotizing bronchiolitis,lung,C0264366,Necrotizing bronchiolitis
1715,Necrotizing bronchopneumonia,lung,C1290338,Necrotizing bronchopneumonia
1716,Negative pressure pulmonary edema,lung,C1321120,Negative pressure pulmonary edema
1717,Neonatal aspiration of amniotic fluid,lung,C0021289,"Infant, Newborn"
1718,Neonatal aspiration of amniotic fluid,lung,C2827071,Unintentional Material Aspiration
1719,Neonatal aspiration of amniotic fluid,lung,C0002638,Amniotic Fluid
1720,Neonatal aspiration syndromes,lung,C0021289,"Infant, Newborn"
1721,Neonatal aspiration syndromes,lung,C0349468,Neonatal aspiration syndromes
1722,Neonatal pneumonia,lung,C0021289,"Infant, Newborn"
1723,Neonatal pneumonia,lung,C0032285,Pneumonia
1724,Neoplasm of ethmoidal sinus,lung,C1882062,Neoplastic disease
1725,Neoplasm of ethmoidal sinus,lung,C0015028,Ethmoid sinus structure
1726,Neoplasm of pyriform sinus,lung,C1882062,Neoplastic disease
1727,Neoplasm of pyriform sinus,lung,C0227170,Structure of piriform recess
1728,Neuroendocrine cell hyperplasia of infancy,lung,C1882794,Rat Neuroendocrine Cell Hyperplasia
1729,Neuroendocrine cell hyperplasia of infancy,lung,C0231330,Infancy
1730,Neuroendocrine neoplasm of lung,lung,C0206754,Neuroendocrine Tumors
1731,Neuroendocrine neoplasm of lung,lung,C0024109,Lung
1732,Neurogenic pulmonary edema,lung,C0340098,Neurogenic pulmonary edema
1733,Non-cardiogenic pulmonary edema,lung,C3241936,Non-cardiogenic pulmonary edema
1734,Nonspecific interstitial pneumonia,lung,C0750540,nonspecific
1735,Nonspecific interstitial pneumonia,lung,C0206061,"Pneumonia, Interstitial"
1736,Nontraumatic hemothorax,lung,C1319295,Nontraumatic hemothorax
1737,Obstruction of bronchus,lung,C0028778,Obstruction
1738,Obstruction of bronchus,lung,C0006255,Bronchi
1739,Obstruction of larynx,lung,C0028778,Obstruction
1740,Obstruction of larynx,lung,C0023078,Larynx
1741,Obstruction of trachea,lung,C0028778,Obstruction
1742,Obstruction of trachea,lung,C0040578,Trachea
1743,Obstructive atelectasis,lung,C0264498,Obstructive atelectasis
1744,Obstructive bronchiectasis,lung,C0339986,Obstructive bronchiectasis
1745,Obstructive emphysema,lung,C0241876,Obstructive emphysema
1746,Occupational bronchitis,lung,C0264422,Occupational bronchitis
1747,Occupational lung disease,lung,C0264421,Occupational lung disease
1748,Open pneumothorax,lung,C0264555,Open pneumothorax
1749,Organized pneumonia,lung,C1300196,Organized
1750,Organized pneumonia,lung,C0032285,Pneumonia
1751,Oronasal fistula,lung,C1299894,Oronasal fistula
1752,Oropharyngeal mucositis,lung,C1290331,Oropharyngeal mucositis
1753,Pansinusitis,lung,C0558362,Pansinusitis
1754,Parainfluenza virus pneumonia,lung,C0276333,Parainfluenza virus pneumonia
1755,Parapharyngeal abscess,lung,C0155842,Parapharyngeal abscess
1756,Paraseptal emphysema,lung,C0264394,Paraseptal emphysema
1757,Perforation of pharynx,lung,C0549099,Perforation (observation)
1758,Perforation of pharynx,lung,C0031354,Pharyngeal structure
1759,Perforation of trachea,lung,C0549099,Perforation (observation)
1760,Perforation of trachea,lung,C0040578,Trachea
1761,Perinatal atelectasis,lung,C0270164,Perinatal atelectasis
1762,Perinatal hypoxia,lung,C0559478,Perinatal hypoxia
1763,Perinatal pulmonary hemorrhage,lung,C0475713,Perinatal pulmonary hemorrhage
1764,Perinatal respiratory distress,lung,C0270149,Perinatal respiratory distress
1765,Peripheral pulmonary artery stenosis,lung,C0345030,Peripheral pulmonary artery stenosis
1766,Peritonsillar cellulitis,lung,C0553656,Peritonsillar cellulitis
1767,Persistent asthma,lung,C0205322,Persistent
1768,Persistent asthma,lung,C0004096,Asthma
1769,Pertussis,lung,C0043167,Pertussis
1770,Pharyngeal diphtheria,lung,C3854282,Pharyngeal diphtheria
1771,Pharyngeal paralysis,lung,C0240752,Pharyngeal paralysis
1772,Pharyngitis,lung,C0031350,Pharyngitis
1773,Pharyngocutaneous fistula,lung,C0396009,Pharyngocutaneous fistula
1774,Pleural effusion associated with pulmonary infection,lung,C0032227,Pleural effusion disorder
1775,Pleural effusion associated with pulmonary infection,lung,C0332281,Associated with
1776,Pleural effusion associated with pulmonary infection,lung,C0876973,Infectious disease of lung
1777,Pleural effusion due to another disorder,lung,C0032227,Pleural effusion disorder
1778,Pleural effusion due to another disorder,lung,C0012634,Disease
1779,Pleural plaque,lung,C0340030,Pleural plaque
1780,Pleurisy,lung,C0032231,Pleurisy
1781,Pleurisy with effusion,lung,C0032231,Pleurisy
1782,Pleurisy with effusion,lung,C0013687,effusion
1783,Pleuropulmonary blastoma,lung,C1266144,Pleuropulmonary blastoma
1784,Pneumococcal bronchitis,lung,C0275765,Pneumococcal bronchitis
1785,Pneumococcal lobar pneumonia,lung,C2364009,Pneumococcal lobar pneumonia
1786,Pneumoconiosis,lung,C0032273,Pneumoconiosis
1787,Pneumoconiosis due to talc,lung,C0032273,Pneumoconiosis
1788,Pneumoconiosis due to talc,lung,C0039267,Talc
1789,Pneumonia,lung,C0032285,Pneumonia
1790,Pneumonia and influenza,lung,C0032285,Pneumonia
1791,Pneumonia and influenza,lung,C0021400,Influenza
1792,Pneumonia due to Escherichia coli,lung,C0032285,Pneumonia
1793,Pneumonia due to Escherichia coli,lung,C0014834,Escherichia coli
1794,Pneumonia due to Gram negative bacteria,lung,C0032285,Pneumonia
1795,Pneumonia due to Gram negative bacteria,lung,C0018150,Gram-Negative Bacteria
1796,Pneumonia due to Klebsiella pneumoniae,lung,C0032285,Pneumonia
1797,Pneumonia due to Klebsiella pneumoniae,lung,C0001699,Klebsiella pneumoniae
1798,Pneumonia due to methicillin resistant Staphylococcus aureus,lung,C0032285,Pneumonia
1799,Pneumonia due to methicillin resistant Staphylococcus aureus,lung,C0025643,Methicillin
1800,Pneumonia due to methicillin resistant Staphylococcus aureus,lung,C0332325,Resistant (qualifier value)
1801,Pneumonia due to methicillin resistant Staphylococcus aureus,lung,C0038172,Staphylococcus aureus
1802,Pneumonia due to respiratory syncytial virus,lung,C0032285,Pneumonia
1803,Pneumonia due to respiratory syncytial virus,lung,C0035236,Respiratory syncytial virus
1804,Pneumonia in Q fever,lung,C0032285,Pneumonia
1805,Pneumonia in Q fever,lung,C0034362,Q Fever
1806,Pneumonia in aspergillosis,lung,C0032285,Pneumonia
1807,Pneumonia in aspergillosis,lung,C0004030,Aspergillosis
1808,Pneumonia in pertussis,lung,C0032285,Pneumonia
1809,Pneumonia in pertussis,lung,C0043167,Pertussis
1810,Pneumonitis,lung,C3714636,Pneumonitis
1811,Pneumonitis due to fumes AND/OR vapors,lung,C3714636,Pneumonitis
1812,Pneumonitis due to fumes AND/OR vapors,lung,C0457553,Fume
1813,Pneumonitis due to fumes AND/OR vapors,lung,C0597635,vapor
1814,Pneumothorax,lung,C0032326,Pneumothorax
1815,Polyp in nasopharynx,lung,C0032584,polyps
1816,Polyp in nasopharynx,lung,C0027442,Nasopharynx
1817,Polyp of larynx,lung,C0032584,polyps
1818,Polyp of larynx,lung,C0023078,Larynx
1819,Polyp of maxillary sinus,lung,C0032584,polyps
1820,Polyp of maxillary sinus,lung,C0024957,Maxillary Sinus
1821,Polyp of nasal sinus,lung,C0032584,polyps
1822,Polyp of nasal sinus,lung,C0030471,Nasal sinus
1823,Polyp of vocal cord,lung,C0032584,polyps
1824,Polyp of vocal cord,lung,C0042930,Vocal cord structure
1825,Post-infective bronchiectasis,lung,C0339990,Post-infective bronchiectasis
1826,Posterior epistaxis,lung,C0339816,Posterior epistaxis
1827,Postobstructive pneumonia,lung,C0747690,Postobstructive pneumonia
1828,Postoperative atelectasis,lung,C0032790,Postoperative Period
1829,Postoperative atelectasis,lung,C0004144,Atelectasis
1830,Postoperative pneumonia,lung,C0032790,Postoperative Period
1831,Postoperative pneumonia,lung,C0032285,Pneumonia
1832,"Primary atelectasis, in perinatal period",lung,C0270163,"Primary atelectasis, in perinatal period"
1833,"Primary atelectasis, in perinatal period",lung,C0178795,Perinatal period
1834,Primary malignant neoplasm of left lung,lung,C1306459,Primary malignant neoplasm
1835,Primary malignant neoplasm of left lung,lung,C0225730,Left lung
1836,Primary pneumonic plague,lung,C0152937,Primary pneumonic plague
1837,Primary pulmonary lymphoma,lung,C4273669,Primary pulmonary lymphoma
1838,Pseudochylothorax,lung,C0340018,Pseudochylothorax
1839,Pulmonary actinomycosis,lung,C0275566,Pulmonary actinomycosis
1840,Pulmonary amyloidosis,lung,C0700376,Pulmonary amyloidosis
1841,Pulmonary arteritis,lung,C0003861,Pulmonary arteritis
1842,Pulmonary barotrauma,lung,C0034055,Pulmonary barotrauma
1843,Pulmonary blastomycosis,lung,C0339964,Pulmonary blastomycosis
1844,Pulmonary congestion,lung,C0242073,Pulmonary congestion
1845,Pulmonary cryptococcosis,lung,C0276688,Pulmonary cryptococcosis
1846,Pulmonary dirofilariasis,lung,C0277264,Pulmonary dirofilariasis
1847,Pulmonary endarteritis,lung,C0264931,Pulmonary endarteritis
1848,Pulmonary gangrene,lung,C0264516,Pulmonary gangrene
1849,Pulmonary granuloma,lung,C0235557,Pulmonary granuloma
1850,Pulmonary hemorrhage,lung,C0151701,Pulmonary hemorrhage
1851,Pulmonary histoplasmosis,lung,C1306038,Pulmonary histoplasmosis
1852,Pulmonary insufficiency following trauma,lung,C0034088,Pulmonary Valve Insufficiency
1853,Pulmonary insufficiency following trauma,lung,C4049136,"Trauma, nursing specialty"
1854,Pulmonary interstitial glycogenosis,lung,C3161106,Pulmonary interstitial glycogenosis
1855,Pulmonary melioidosis,lung,C0343440,Pulmonary melioidosis
1856,Pulmonary mucormycosis,lung,C0339962,Pulmonary mucormycosis
1857,Pulmonary necrosis,lung,C0264517,Pulmonary necrosis
1858,Pulmonary nematodiasis,lung,C0276922,Pulmonary nematodiasis
1859,Pulmonary nodular lymphoid hyperplasia,lung,C1334969,Pulmonary nodular lymphoid hyperplasia
1860,Pulmonary ossification,lung,C0264523,Pulmonary ossification
1861,Pulmonary overpressurization syndrome,lung,C0413278,Pulmonary overpressurization syndrome
1862,Pulmonary paracoccidioidomycosis,lung,C0276665,Pulmonary paracoccidioidomycosis
1863,Pulmonary renal syndrome,lung,C0549143,Pulmonary renal syndrome
1864,Pulmonary schistosomiasis,lung,C0036334,Pulmonary schistosomiasis
1865,Pulmonary tularemia,lung,C0339946,Pulmonary tularemia
1866,Purulent bronchitis,lung,C0264343,Purulent bronchitis
1867,Purulent rhinitis,lung,C0264272,Purulent rhinitis
1868,Pyopneumothorax,lung,C0238404,Pyopneumothorax
1869,Reactive airway disease,lung,C3714497,Reactive airway disease
1870,Reactive airways dysfunction syndrome,lung,C1299633,Reactive airways dysfunction syndrome
1871,Recurrent aspiration pneumonia,lung,C2945760,Recurrent
1872,Recurrent aspiration pneumonia,lung,C0032290,Aspiration Pneumonia
1873,Recurrent croup,lung,C2945760,Recurrent
1874,Recurrent croup,lung,C0010380,Croup
1875,Recurrent lower respiratory tract infection,lung,C2945760,Recurrent
1876,Recurrent lower respiratory tract infection,lung,C1548802,Body Site Modifier - Lower
1877,Recurrent lower respiratory tract infection,lung,C0035243,Respiratory Tract Infections
1878,Recurrent pneumonia,lung,C2945760,Recurrent
1879,Recurrent pneumonia,lung,C0032285,Pneumonia
1880,Recurrent respiratory papillomatosis,lung,C2945760,Recurrent
1881,Recurrent respiratory papillomatosis,lung,C1168198,Recurrent respiratory papillomatosis
1882,Recurrent sinusitis,lung,C2945760,Recurrent
1883,Recurrent sinusitis,lung,C0037199,Sinusitis
1884,Red throat,lung,C0455899,Red throat
1885,Respiratory arrest,lung,C0003578,Apnea
1886,Respiratory complication,lung,C0161818,Respiratory complication
1887,Respiratory diphtheria,lung,C4275065,Respiratory diphtheria
1888,Respiratory failure without hypercapnia,lung,C1145670,Respiratory Failure
1889,Respiratory failure without hypercapnia,lung,C0020440,Hypercapnia
1890,Respiratory syncytial virus bronchiolitis,lung,C0276340,Respiratory syncytial virus bronchiolitis
1891,Respiratory tract congestion,lung,C0948349,Respiratory tract congestion
1892,Respiratory tract hemorrhage,lung,C0235560,Respiratory tract hemorrhage
1893,Restrictive lung disease,lung,C0085581,Restrictive lung disease
1894,Rheumatoid lung disease,lung,C0994344,Rheumatoid lung disease
1895,Rhinitis medicamentosa,lung,C0149980,Rhinitis medicamentosa
1896,Rhinoscleroma,lung,C0035468,Rhinoscleroma
1897,Right lower zone pneumonia,lung,C0585105,Right lower zone pneumonia
1898,Right pneumothorax,lung,C0546333,Right pneumothorax
1899,Right upper zone pneumonia,lung,C0585106,Right upper zone pneumonia
1900,Round atelectasis,lung,C2062952,Round atelectasis
1901,Rupture of diaphragm,lung,C3203359,Rupture
1902,Rupture of diaphragm,lung,C1705368,Diaphragm Dosage Form
1903,Saccular bronchiectasis,lung,C0264360,Saccular bronchiectasis
1904,Seasonal asthma,lung,C2919352,Seasonal asthma
1905,Secondary bacterial pneumonia,lung,C0027627,Neoplasm Metastasis
1906,Secondary bacterial pneumonia,lung,C0004626,"Pneumonia, Bacterial"
1907,Secondary malignant neoplasm of lung,lung,C3266877,Secondary Malignant Neoplasm
1908,Secondary malignant neoplasm of lung,lung,C0024109,Lung
1909,Secondary malignant neoplasm of pleura,lung,C3266877,Secondary Malignant Neoplasm
1910,Secondary malignant neoplasm of pleura,lung,C0032225,Pleura
1911,Secondary pneumonic plague,lung,C0027627,Neoplasm Metastasis
1912,Secondary pneumonic plague,lung,C0524688,Pneumonic Plague
1913,Secondary pulmonary hemosiderosis,lung,C4274326,Secondary pulmonary hemosiderosis
1914,Secondary spontaneous pneumothorax,lung,C0027627,Neoplasm Metastasis
1915,Septic bronchitis,lung,C0264344,Septic bronchitis
1916,Severe acute respiratory infection,lung,C0205082,Severe (severity modifier)
1917,Severe acute respiratory infection,lung,C0339901,Acute respiratory infections
1918,Severe asthma,lung,C0205082,Severe (severity modifier)
1919,Severe asthma,lung,C0004096,Asthma
1920,Severe chronic obstructive pulmonary disease,lung,C0205082,Severe (severity modifier)
1921,Severe chronic obstructive pulmonary disease,lung,C0024117,Chronic Obstructive Airway Disease
1922,Silicotuberculosis,lung,C0037118,Silicotuberculosis
1923,Single naris,lung,C0685682,Single naris
1924,Sinus barotrauma,lung,C0161745,Sinus barotrauma
1925,Sinusitis,lung,C0037199,Sinusitis
1926,Sleep-related respiratory failure,lung,C0020681,Sleep-related respiratory failure
1927,Small cell carcinoma of lung,lung,C0149925,Small cell carcinoma of lung
1928,Small cell carcinoma of lung,lung,C0024109,Lung
1929,Smokers' cough,lung,C0337664,Smoker
1930,Smokers' cough,lung,C0010200,Coughing
1931,Spasm of the cricopharyngeus muscle,lung,C0026821,Muscle Cramp
1932,Spasm of the cricopharyngeus muscle,lung,C0224214,Inferior constrictor pharyngeus muscle structure
1933,Spontaneous pneumothorax,lung,C0205359,Spontaneous
1934,Spontaneous pneumothorax,lung,C0032326,Pneumothorax
1935,Squamous cell carcinoma of lung,lung,C0007137,Squamous cell carcinoma
1936,Squamous cell carcinoma of lung,lung,C0024109,Lung
1937,Squamous cell carcinoma of nasopharynx,lung,C0007137,Squamous cell carcinoma
1938,Squamous cell carcinoma of nasopharynx,lung,C0027442,Nasopharynx
1939,Squamous cell carcinoma of oropharynx,lung,C0007137,Squamous cell carcinoma
1940,Squamous cell carcinoma of oropharynx,lung,C0521367,Oropharyngeal
1941,Squamous cell carcinoma of pharynx,lung,C0007137,Squamous cell carcinoma
1942,Squamous cell carcinoma of pharynx,lung,C0031354,Pharyngeal structure
1943,Stannosis,lung,C0264444,Stannosis
1944,Stenosis of bronchus,lung,C2632116,Stenosis (invertebrate)
1945,Stenosis of bronchus,lung,C0006255,Bronchi
1946,Steroid dependent asthma,lung,C0038317,Steroids
1947,Steroid dependent asthma,lung,C1701901,Conditional
1948,Storage disease of the lung,lung,C0267971,Storage disease
1949,Storage disease of the lung,lung,C0024109,Lung
1950,Streptococcal sore throat,lung,C0036689,Streptococcal sore throat
1951,Streptococcal tonsillitis,lung,C0275804,Streptococcal tonsillitis
1952,Suberosis,lung,C0152108,Suberosis
1953,Subglottic cyst,lung,C0426571,Subglottic cyst
1954,Subglottic edema,lung,C0235552,Subglottic edema
1955,Subglottic stenosis,lung,C0238441,Subglottic stenosis
1956,Suppurative pharyngitis,lung,C0264285,Suppurative pharyngitis
1957,Suppurative tonsillitis,lung,C0272383,Suppurative tonsillitis
1958,Supraglottitis,lung,C0749165,Supraglottitis
1959,Thickening of pleura,lung,C0205400,Thickened
1960,Thickening of pleura,lung,C0032225,Pleura
1961,Tonsillitis,lung,C0040425,Tonsillitis
1962,Totally obstructed airway,lung,C0549186,Obstructed
1963,Toxic pneumonitis,lung,C3714582,Toxic pneumonitis
1964,Toxoplasma pneumonitis,lung,C0339950,Toxoplasma pneumonitis
1965,Trachea displaced,lung,C0040578,Trachea
1966,Trachea displaced,lung,C0012727,Spatial Displacement
1967,Tracheal diverticulosis,lung,C0340213,Tracheal diverticulosis
1968,Tracheal fistula,lung,C0340214,Tracheal fistula
1969,Tracheal hemorrhage,lung,C0340220,Tracheal hemorrhage
1970,Tracheal rupture,lung,C0340222,Tracheal rupture
1971,Tracheitis,lung,C0040584,Tracheitis
1972,Tracheobiliary fistula,lung,C0431597,Tracheobiliary fistula
1973,Tracheobronchitis,lung,C0040586,Tracheobronchitis
1974,Tracheobronchitis due to Aspergillus,lung,C0040586,Tracheobronchitis
1975,Tracheobronchitis due to Aspergillus,lung,C0004034,Aspergillus
1976,Tracheobronchomalacia,lung,C0340231,Tracheobronchomalacia
1977,Tracheobronchomegaly,lung,C0040587,Tracheobronchomegaly
1978,Tracheomalacia,lung,C0948187,Tracheomalacia
1979,Traction bronchiectasis,lung,C0264361,Traction bronchiectasis
1980,Transitory tachypnea of newborn,lung,C0158940,Transitory tachypnea of newborn
1981,Transitory tachypnea of newborn,lung,C0021289,"Infant, Newborn"
1982,Traumatic pneumonia,lung,C0340143,Traumatic pneumonia
1983,Traumatic pneumothorax,lung,C0282015,Traumatic pneumothorax
1984,Tuberculosis of nose,lung,C0041296,Tuberculosis
1985,Tuberculosis of nose,lung,C0028429,Nose
1986,Tuberculous bronchiectasis,lung,C0152586,Tuberculous bronchiectasis
1987,Tuberculous pleural effusion,lung,C2959467,Tuberculous pleural effusion
1988,Tuberculous pneumonia,lung,C0275891,Tuberculous pneumonia
1989,Ulcerative pharyngitis,lung,C0264286,Ulcerative pharyngitis
1990,Ulcerative rhinitis,lung,C0235963,Ulcerative rhinitis
1991,Undifferentiated carcinoma of nasopharynx,lung,C0205698,Undifferentiated carcinoma
1992,Undifferentiated carcinoma of nasopharynx,lung,C0027442,Nasopharynx
1993,Upper airway resistance syndrome,lung,C1319384,Upper airway resistance syndrome
1994,Upper respiratory tract infection due to Influenza,lung,C0041912,Upper Respiratory Infections
1995,Upper respiratory tract infection due to Influenza,lung,C0021400,Influenza
1996,Upper respiratory tract obstruction,lung,C0392454,Upper respiratory tract obstruction
1997,Uremic lung,lung,C0340107,Uremic lung
1998,Uvulitis,lung,C0042174,Uvulitis
1999,Ventilator-associated lung injury,lung,C0340257,Ventilator-associated lung injury
2000,Viral bronchitis,lung,C0276141,Viral bronchitis
2001,Viral lower respiratory infection,lung,C0441994,Lower - spatial qualifier
2002,Viral lower respiratory infection,lung,C0035243,Respiratory Tract Infections
2003,Viral pharyngitis,lung,C0276143,Viral pharyngitis
2004,Viral respiratory infection,lung,C0729531,Viral respiratory infection
2005,Viral sinusitis,lung,C0748731,Viral sinusitis
2006,Viral tonsillitis,lung,C0276144,Viral tonsillitis
2007,Viral tracheitis,lung,C0276145,Viral tracheitis
2008,Viral upper respiratory tract infection,lung,C0339916,Viral upper respiratory tract infection
2009,Wilson-Mikity syndrome,lung,C0270171,Wilson-Mikity syndrome
2010,Woody tongue,lung,C4040501,Woody tongue
2011,Acute cor pulmonale,heart,C0155672,Acute cor pulmonale
2012,Acute endocarditis,heart,C0375268,Acute endocarditis
2013,Acute heart failure,heart,C0264714,Acute heart failure
2014,Acute left ventricular failure,heart,C1306063,Acute left ventricular failure
2015,Acute myocardial infarction,heart,C0155626,Acute myocardial infarction
2016,Acute pulmonary edema,heart,C0155919,Acute pulmonary edema
2017,Acute purulent pericarditis,heart,C0265149,Acute purulent pericarditis
2018,Aortic valve calcification,heart,C0428791,Aortic valve calcification
2019,Aortic valve disorder,heart,C1260873,Aortic valve disorder
2020,Ascites,heart,C0003962,Ascites
2021,Atrial dilatation,heart,C0264734,Atrial dilatation
2022,Atrial rupture,heart,C0877045,Atrial rupture
2023,Atrial thrombosis,heart,C0340517,Atrial thrombosis
2024,Bacterial pericarditis,heart,C0340445,Bacterial pericarditis
2025,Bicuspid aortic valve,heart,C0149630,Bicuspid aortic valve
2026,Bradycardia,heart,C0428977,Bradycardia
2027,Cardiac cirrhosis,heart,C0085699,Cardiac cirrhosis
2028,Cardiac dysfunction,heart,C3277906,Cardiac dysfunction
2029,Cardiomegaly,heart,C0018800,Cardiomegaly
2030,Cardiorespiratory failure,heart,C1444565,Cardiorespiratory failure
2031,Cardiotoxicity,heart,C0876994,Cardiotoxicity
2032,Cardiovascular symptoms,heart,C0476270,Cardiovascular symptoms
2033,Carditis,heart,C0869523,Carditis
2034,Central cyanosis,heart,C0521800,Central cyanosis
2035,Chest discomfort,heart,C0235710,Chest discomfort
2036,Chronic heart failure,heart,C0264716,Chronic heart failure
2037,Chronic pulmonary heart disease,heart,C0238074,Chronic pulmonary heart disease
2038,Clubbing,heart,C0009080,Clubbed Fingers
2039,Common ventricle,heart,C1522138,shared attribute
2040,Common ventricle,heart,C2355627,Ventricle
2041,Complete atrioventricular block,heart,C1548561,Completion Status for valid values - Complete
2042,Complete atrioventricular block,heart,C0004245,Atrioventricular Block
2043,Conduction disorder of the heart,heart,C0264886,Conduction disorder of the heart
2044,Conduction disorder of the heart,heart,C0018787,Heart
2045,Congenital atresia of mitral valve,heart,C0243066,Atresia
2046,Congenital atresia of mitral valve,heart,C0026264,Mitral Valve
2047,Congenital atresia of pulmonary valve,heart,C0243066,Atresia
2048,Congenital atresia of pulmonary valve,heart,C0034086,Pulmonary valve structure
2049,Congenital heart block,heart,C0149530,Congenital heart block
2050,Congenital heart disease,heart,C0152021,Congenital heart disease
2051,Congenital insufficiency of aortic valve,heart,C0158617,Congenital insufficiency of aortic valve
2052,Congenital insufficiency of aortic valve,heart,C0003501,Aortic valve structure
2053,Congenital stenosis of mitral valve,heart,C0332885,Congenital stenosis
2054,Congenital stenosis of mitral valve,heart,C0026264,Mitral Valve
2055,Congestive heart failure,heart,C0018802,Congestive heart failure
2056,Cor biloculare,heart,C0152238,Cor biloculare
2057,Coronary arteritis,heart,C0264684,Coronary arteritis
2058,Coronary artery embolism,heart,C0264686,Coronary artery embolism
2059,Coxsackie myocarditis,heart,C0153106,Coxsackie myocarditis
2060,Dependent edema,heart,C1701901,Conditional
2061,Dependent edema,heart,C0013604,Edema
2062,Dextrocardia,heart,C3541877,Dextrocardia by ECG Finding
2063,Diastolic dysfunction,heart,C0520863,Diastolic dysfunction
2064,Disorder of pericardium,heart,C0012634,Disease
2065,Disorder of pericardium,heart,C0031050,Pericardial sac structure
2066,Dizziness,heart,C4085548,Usual Severity Dizziness
2067,Double outlet left ventricle,heart,C0265809,Double outlet left ventricle
2068,Dyspnea,heart,C0013404,Dyspnea
2069,Dyspnea on exertion,heart,C0013404,Dyspnea
2070,Dyspnea on exertion,heart,C0015264,Exertion
2071,Electromechanical dissociation,heart,C0340861,Electromechanical dissociation
2072,Endocarditis,heart,C0014118,Endocarditis
2073,Eosinophilic myocarditis,heart,C0151788,Eosinophilic myocarditis
2074,Fetal bradycardia,heart,C0015965,Fetus
2075,Fetal tachycardia,heart,C0410918,Fetal tachycardia
2076,Fibrillation,heart,C0232197,Fibrillation
2077,Fibrosis of pericardium,heart,C0016059,Fibrosis
2078,Fibrosis of pericardium,heart,C0031050,Pericardial sac structure
2079,First degree atrioventricular block,heart,C0449286,Degree or extent
2080,First degree atrioventricular block,heart,C0004245,Atrioventricular Block
2081,Gray syndrome from chloramphenicol administration in newborn,heart,C0270276,Gray syndrome from chloramphenicol administration in newborn
2082,Gray syndrome from chloramphenicol administration in newborn,heart,C0008168,Chloramphenicol
2083,Gray syndrome from chloramphenicol administration in newborn,heart,C0001554,Administration occupational activities
2084,Gray syndrome from chloramphenicol administration in newborn,heart,C0021289,"Infant, Newborn"
2085,Heart failure,heart,C0018801,Heart failure
2086,Heart valve regurgitation,heart,C0264879,Heart valve regurgitation
2087,Hemopericardium,heart,C0019064,Hemopericardium
2088,Hemoptysis,heart,C0019079,Hemoptysis
